ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P142_1,P142_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229D_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_1_PRE_KG,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2023,01,AMAZONAS,04,CONDORCANQUI,01,NIEVA,00002,04,04,1,3,010492005,6.03529119491577,1,1,1,1,YUCA,2620,MASATO,4123,215,000,LITRO,14,1,0,000, , , , ,215,000,0,000, 
2023,01,AMAZONAS,04,CONDORCANQUI,01,NIEVA,00002,06,06,1,3,010492005,1.71887624263763,1,1,1,1,YUCA,2620,MASATO,4123,2,000,BALDE,03,20,0,000, , , , ,2,000,0,000, 
2023,01,AMAZONAS,04,CONDORCANQUI,01,NIEVA,00002,09,09,1,3,010492005,7.38766145706177,1,1,1,1,YUCA,2620,MASATO,4123,4,000,BALDE,03,20,0,000, , , , ,4,000,0,000, 
2023,01,AMAZONAS,04,CONDORCANQUI,01,NIEVA,00004,01,01,1,3,010492005,5.33457040786743,1,1,1,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,20,000,KILOGRAMO,12,1,15,000,25,00,375,25,5,000,0,000, 
2023,01,AMAZONAS,04,CONDORCANQUI,01,NIEVA,00004,03,03,1,3,010492005,98.8676300048828,1,1,1,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,50,000,KILOGRAMO,12,1,0,000, , , , ,25,000,25,000, 
2023,01,AMAZONAS,02,BAGUA,05,IMAZA,00009,01,01,1,3,010282006,3.25328326225281,1,1,0,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,50,000,KILOGRAMO,12,1,50,000,20,00,1000,20,0,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,02,ARAMANGO,00023,01,01,1,3,010282003,.21651691198349,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,0,500,QUINTAL,18,50,0,000, , , , ,0,500,0,000, 
2023,01,AMAZONAS,02,BAGUA,02,ARAMANGO,00023,01,01,1,3,010282003,.21651691198349,1,1,1,2,CACAO,1202,TABLETAS DE CHOCOLATE,4135,1,000,KILOGRAMO,12,1,0,000, , , , ,1,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,02,ARAMANGO,00023,02,02,1,3,010282003,1.01829612255096,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,0,500,QUINTAL,18,50,0,000, , , , ,0,250,0,250, 
2023,01,AMAZONAS,02,BAGUA,02,ARAMANGO,00027,03,03,1,3,010271005,5.38673257827759,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,45,000,KILOGRAMO,12,1,0,000, , , , ,45,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,02,ARAMANGO,00028,02,02,1,3,010272005,21.5117664337158,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,66,000,KILOGRAMO,12,1,0,000, , , , ,58,000,8,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00037,02,02,1,3,010272004,39.6933746337891,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,33,000,KILOGRAMO,12,1,0,000, , , , ,19,000,14,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00038,01,01,1,3,010284005,98.1575393676758,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,33,000,KILOGRAMO,12,1,0,000, , , , ,33,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00038,02,02,1,3,010284005,35.2408866882324,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,33,000,KILOGRAMO,12,1,0,000, , , , ,33,000,0,000, 
2023,01,AMAZONAS,02,BAGUA,01,BAGUA,00041,01,01,1,3,010282004,3.94952392578125,1,1,1,1,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122,16,000,KILOGRAMO,12,1,0,000, , , , ,16,000,0,000, 
